Shoe ID, Shoe Name, Shoe Type ID, Shoe Type Name, Designer ID, Designer Name, Shoe Price,Colour
B01CG4JD2I, Mary Janes, 0000001, High Heels, 0000021, Gucci, 100, Black
B01HVNA094, Huaraches, 0000002, Trainers, 0000031, Nike , 99, Red
B00PYQDXK4, Manolo Star, 0000001, High Heels, 0000041, Manolo Blahnik, 200,Glitter
B01CHAHG7U, Air Jordans, 0000002, Trainers, 0000031, Nike, 150, Black
B06VXZ4YN4, Kathleen , 0000001, Sandals, 0000051, Jimmy Choo, 350, Blue
B01MSK7452, Harlow, 0000003, Boots, 0000061, Loboutin,400, Black
B00LNDEB76, Sliders, 0000004, Flip Flops, 0000071, Zara, 50, Blue
B00PH5W894, Originals ZX,0000002, Trainers, 0000081, Adidas, 120, Red
B00U64U1PY, Energy Lace-ups, 0000003, Boots, 0000091, Asos, 90, Pink
B01LQ0YWQA,Gambie, 0000005, Wellies, 0000091, Asos, 40, Yellow
B00J8MDGX4,Ultra Boost, 0000002, Trainers,0000081,Adidas, 90, White
B001H00AAW,Air Max 95s,0000002,Trainers,0000031,Nike, 80, Black
B000OLVQ3A,All Star Hi,0000002,Trainers,0000110,Converse,50, White
B01F5ABP1W,Pigalle Glitter,0000001, High Heels,0000061, Loboutin,475,Glitter
B01MZGLNPM,Chelsea Ankle Black,0000003,Boots,0000091,Asos,70, Black
B00PAJN60M,Suede Classics,0000002,Trainers,0000210,Puma,50, Red
B0155F1T86,Sophie Crystal,0000001,High Heels,0000310,Giuseppe Zanotti,1250, Black
B01M17AE4M,Claudia Glitter,0000001,High Heels,0000310,Giuseppe Zanotti,950 ,Glitter
B01MF91W9P,Origami Pumps,0000001,High Heels,0000410,Ferragamo,480, Green 
B01MEELG8M, Origami Pumps Black,0000001,High Heels,0000410,Ferragamo,500, Black
